Sr. No,Image name,Detected Categories,Cleaned Image Path
52,68154.png,[],/content/cleaned_images_with_text_removal/68154.png
53,53908.png,"['person', 'person']",/content/cleaned_images_with_text_removal/53908.png
54,92658.png,"['person', 'person', 'person']",/content/cleaned_images_with_text_removal/92658.png
55,17230.png,"['person', 'person', 'person', 'chair', 'person']",/content/cleaned_images_with_text_removal/17230.png
56,60147.png,['person'],/content/cleaned_images_with_text_removal/60147.png
57,89675.png,"['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person']",/content/cleaned_images_with_text_removal/89675.png
58,17469.png,[],/content/cleaned_images_with_text_removal/17469.png
59,63814.png,['person'],/content/cleaned_images_with_text_removal/63814.png
60,78125.png,['cell phone'],/content/cleaned_images_with_text_removal/78125.png
61,10576.png,"['person', 'tie', 'person']",/content/cleaned_images_with_text_removal/10576.png
62,75962.png,[],/content/cleaned_images_with_text_removal/75962.png
63,84516.png,['person'],/content/cleaned_images_with_text_removal/84516.png
64,20386.png,"['person', 'person', 'person', 'person']",/content/cleaned_images_with_text_removal/20386.png
65,59642.png,[],/content/cleaned_images_with_text_removal/59642.png
66,39281.png,['person'],/content/cleaned_images_with_text_removal/39281.png
67,09382.png,"['cake', 'person']",/content/cleaned_images_with_text_removal/09382.png
68,20674.png,['person'],/content/cleaned_images_with_text_removal/20674.png
69,54092.png,['person'],/content/cleaned_images_with_text_removal/54092.png
70,25079.png,[],/content/cleaned_images_with_text_removal/25079.png
71,69127.png,"['cat', 'cat']",/content/cleaned_images_with_text_removal/69127.png
72,31624.png,['person'],/content/cleaned_images_with_text_removal/31624.png
73,94738.png,"['person', 'person']",/content/cleaned_images_with_text_removal/94738.png
74,15349.png,[],/content/cleaned_images_with_text_removal/15349.png
75,59238.png,"['person', 'mouse']",/content/cleaned_images_with_text_removal/59238.png
76,05819.png,['person'],/content/cleaned_images_with_text_removal/05819.png
77,31702.png,['person'],/content/cleaned_images_with_text_removal/31702.png
78,42653.png,['chair'],/content/cleaned_images_with_text_removal/42653.png
79,45610.png,"['person', 'person', 'person', 'person', 'person', 'person', 'person']",/content/cleaned_images_with_text_removal/45610.png
80,87140.png,[],/content/cleaned_images_with_text_removal/87140.png
81,02946.png,['person'],/content/cleaned_images_with_text_removal/02946.png
82,08234.png,"['person', 'tie', 'person', 'person', 'tie', 'person', 'person', 'person', 'person']",/content/cleaned_images_with_text_removal/08234.png
83,30692.png,[],/content/cleaned_images_with_text_removal/30692.png
84,52746.png,[],/content/cleaned_images_with_text_removal/52746.png
85,65439.png,[],/content/cleaned_images_with_text_removal/65439.png
86,32507.png,['person'],/content/cleaned_images_with_text_removal/32507.png
87,65817.png,[],/content/cleaned_images_with_text_removal/65817.png
88,50961.png,[],/content/cleaned_images_with_text_removal/50961.png
89,47128.png,['person'],/content/cleaned_images_with_text_removal/47128.png
90,19730.png,['person'],/content/cleaned_images_with_text_removal/19730.png
91,38574.png,"['person', 'skateboard']",/content/cleaned_images_with_text_removal/38574.png
92,80297.png,"['frisbee', 'person', 'person', 'person', 'person', 'person']",/content/cleaned_images_with_text_removal/80297.png
93,87296.png,[],/content/cleaned_images_with_text_removal/87296.png
94,67831.png,[],/content/cleaned_images_with_text_removal/67831.png
95,76942.png,"['person', 'surfboard', 'person', 'person']",/content/cleaned_images_with_text_removal/76942.png
96,09785.png,"['person', 'person']",/content/cleaned_images_with_text_removal/09785.png
97,85730.png,[],/content/cleaned_images_with_text_removal/85730.png
98,83095.png,"['person', 'car']",/content/cleaned_images_with_text_removal/83095.png
99,27058.png,[],/content/cleaned_images_with_text_removal/27058.png
100,83264.png,"['person', 'horse']",/content/cleaned_images_with_text_removal/83264.png
101,34068.png,"['person', 'person']",/content/cleaned_images_with_text_removal/34068.png
102,60739.png,['boat'],/content/cleaned_images_with_text_removal/60739.png
103,47215.png,"['car', 'car']",/content/cleaned_images_with_text_removal/47215.png
104,52069.png,[],/content/cleaned_images_with_text_removal/52069.png
105,67498.png,"['person', 'person', 'tie', 'person', 'person']",/content/cleaned_images_with_text_removal/67498.png
106,79084.png,[],/content/cleaned_images_with_text_removal/79084.png
107,61580.png,"['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person']",/content/cleaned_images_with_text_removal/61580.png
108,24815.png,[],/content/cleaned_images_with_text_removal/24815.png
109,82651.png,['person'],/content/cleaned_images_with_text_removal/82651.png
110,95317.png,"['person', 'person', 'person', 'person']",/content/cleaned_images_with_text_removal/95317.png
111,74910.png,[],/content/cleaned_images_with_text_removal/74910.png
112,26407.png,"['person', 'person', 'person', 'person']",/content/cleaned_images_with_text_removal/26407.png
113,62598.png,"['frisbee', 'person']",/content/cleaned_images_with_text_removal/62598.png
114,62081.png,['person'],/content/cleaned_images_with_text_removal/62081.png
115,79853.png,"['person', 'person']",/content/cleaned_images_with_text_removal/79853.png
116,95843.png,"['person', 'person', 'person', 'person', 'person', 'person']",/content/cleaned_images_with_text_removal/95843.png
117,85293.png,['clock'],/content/cleaned_images_with_text_removal/85293.png
118,50619.png,[],/content/cleaned_images_with_text_removal/50619.png
119,53827.png,"['person', 'person']",/content/cleaned_images_with_text_removal/53827.png
120,97012.png,['person'],/content/cleaned_images_with_text_removal/97012.png
121,81962.png,"['person', 'tie']",/content/cleaned_images_with_text_removal/81962.png
122,37259.png,[],/content/cleaned_images_with_text_removal/37259.png
123,59627.png,[],/content/cleaned_images_with_text_removal/59627.png
124,41072.png,[],/content/cleaned_images_with_text_removal/41072.png
125,24517.png,['chair'],/content/cleaned_images_with_text_removal/24517.png
126,02973.png,[],/content/cleaned_images_with_text_removal/02973.png
127,02194.png,"['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person']",/content/cleaned_images_with_text_removal/02194.png
128,98326.png,[],/content/cleaned_images_with_text_removal/98326.png
129,80915.png,"['person', 'person']",/content/cleaned_images_with_text_removal/80915.png
130,92637.png,['person'],/content/cleaned_images_with_text_removal/92637.png
131,20413.png,['person'],/content/cleaned_images_with_text_removal/20413.png
132,85426.png,['person'],/content/cleaned_images_with_text_removal/85426.png
133,25634.png,[],/content/cleaned_images_with_text_removal/25634.png
134,86253.png,[],/content/cleaned_images_with_text_removal/86253.png
135,52801.png,[],/content/cleaned_images_with_text_removal/52801.png
136,05928.png,['horse'],/content/cleaned_images_with_text_removal/05928.png
137,70264.png,"['person', 'tie']",/content/cleaned_images_with_text_removal/70264.png
138,21948.png,['person'],/content/cleaned_images_with_text_removal/21948.png
139,59143.png,['person'],/content/cleaned_images_with_text_removal/59143.png
140,17892.png,['person'],/content/cleaned_images_with_text_removal/17892.png
141,82539.png,"['person', 'cell phone', 'person', 'person', 'person']",/content/cleaned_images_with_text_removal/82539.png
142,18790.png,"['person', 'bottle']",/content/cleaned_images_with_text_removal/18790.png
143,89430.png,"['cup', 'wine glass', 'person']",/content/cleaned_images_with_text_removal/89430.png
144,96253.png,[],/content/cleaned_images_with_text_removal/96253.png
145,89375.png,[],/content/cleaned_images_with_text_removal/89375.png
146,52871.png,[],/content/cleaned_images_with_text_removal/52871.png
147,38790.png,[],/content/cleaned_images_with_text_removal/38790.png
148,13276.png,"['person', 'cell phone', 'person', 'person']",/content/cleaned_images_with_text_removal/13276.png
149,37295.png,[],/content/cleaned_images_with_text_removal/37295.png
150,25791.png,"['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'bowl', 'bottle', 'bottle', 'person', 'bowl', 'bottle', 'bottle']",/content/cleaned_images_with_text_removal/25791.png
151,86051.png,"['person', 'bowl']",/content/cleaned_images_with_text_removal/86051.png
152,23597.png,[],/content/cleaned_images_with_text_removal/23597.png
153,49351.png,[],/content/cleaned_images_with_text_removal/49351.png
154,13587.png,"['sheep', 'sheep']",/content/cleaned_images_with_text_removal/13587.png
155,08419.png,"['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person']",/content/cleaned_images_with_text_removal/08419.png
156,21986.png,[],/content/cleaned_images_with_text_removal/21986.png
157,34609.png,['person'],/content/cleaned_images_with_text_removal/34609.png
158,35079.png,[],/content/cleaned_images_with_text_removal/35079.png
159,61274.png,"['car', 'person']",/content/cleaned_images_with_text_removal/61274.png
160,06582.png,[],/content/cleaned_images_with_text_removal/06582.png
161,51869.png,"['person', 'traffic light', 'person', 'traffic light']",/content/cleaned_images_with_text_removal/51869.png
162,16807.png,[],/content/cleaned_images_with_text_removal/16807.png
163,30918.png,['person'],/content/cleaned_images_with_text_removal/30918.png
164,96573.png,['person'],/content/cleaned_images_with_text_removal/96573.png
165,84291.png,['person'],/content/cleaned_images_with_text_removal/84291.png
166,69743.png,['person'],/content/cleaned_images_with_text_removal/69743.png
167,37690.png,[],/content/cleaned_images_with_text_removal/37690.png
168,45780.png,"['chair', 'bottle', 'potted plant', 'person']",/content/cleaned_images_with_text_removal/45780.png
169,46093.png,"['person', 'person', 'person', 'car', 'person', 'car', 'car', 'backpack', 'car', 'car']",/content/cleaned_images_with_text_removal/46093.png
170,90748.png,[],/content/cleaned_images_with_text_removal/90748.png
171,25369.png,"['person', 'person', 'person']",/content/cleaned_images_with_text_removal/25369.png
172,46907.png,[],/content/cleaned_images_with_text_removal/46907.png
173,06927.png,['person'],/content/cleaned_images_with_text_removal/06927.png
174,07351.png,[],/content/cleaned_images_with_text_removal/07351.png
175,21405.png,['person'],/content/cleaned_images_with_text_removal/21405.png
176,80321.png,['cat'],/content/cleaned_images_with_text_removal/80321.png
177,08516.png,"['person', 'person']",/content/cleaned_images_with_text_removal/08516.png
178,19284.png,"['person', 'person']",/content/cleaned_images_with_text_removal/19284.png
179,14652.png,[],/content/cleaned_images_with_text_removal/14652.png
180,61379.png,['person'],/content/cleaned_images_with_text_removal/61379.png
181,12507.png,[],/content/cleaned_images_with_text_removal/12507.png
182,23187.png,"['person', 'tie']",/content/cleaned_images_with_text_removal/23187.png
183,39018.png,"['person', 'person', 'person']",/content/cleaned_images_with_text_removal/39018.png
184,58327.png,[],/content/cleaned_images_with_text_removal/58327.png
185,94163.png,['person'],/content/cleaned_images_with_text_removal/94163.png
186,07259.png,[],/content/cleaned_images_with_text_removal/07259.png
187,50167.png,['person'],/content/cleaned_images_with_text_removal/50167.png
188,53249.png,"['person', 'person']",/content/cleaned_images_with_text_removal/53249.png
189,38159.png,[],/content/cleaned_images_with_text_removal/38159.png
190,27491.png,['person'],/content/cleaned_images_with_text_removal/27491.png
191,17845.png,[],/content/cleaned_images_with_text_removal/17845.png
192,21043.png,"['person', 'person']",/content/cleaned_images_with_text_removal/21043.png
193,02789.png,['person'],/content/cleaned_images_with_text_removal/02789.png
194,94071.png,['person'],/content/cleaned_images_with_text_removal/94071.png
195,13748.png,['person'],/content/cleaned_images_with_text_removal/13748.png
196,80965.png,['person'],/content/cleaned_images_with_text_removal/80965.png
197,81953.png,['person'],/content/cleaned_images_with_text_removal/81953.png
198,62814.png,['person'],/content/cleaned_images_with_text_removal/62814.png
199,76341.png,['dog'],/content/cleaned_images_with_text_removal/76341.png
200,97026.png,[],/content/cleaned_images_with_text_removal/97026.png
201,09715.png,[],/content/cleaned_images_with_text_removal/09715.png
202,49372.png,"['person', 'person', 'person', 'person', 'person']",/content/cleaned_images_with_text_removal/49372.png
203,07391.png,"['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person']",/content/cleaned_images_with_text_removal/07391.png
204,15728.png,['person'],/content/cleaned_images_with_text_removal/15728.png
205,71092.png,"['person', 'person', 'person']",/content/cleaned_images_with_text_removal/71092.png
206,38290.png,['tie'],/content/cleaned_images_with_text_removal/38290.png
207,14296.png,['person'],/content/cleaned_images_with_text_removal/14296.png
208,87625.png,"['person', 'potted plant']",/content/cleaned_images_with_text_removal/87625.png
209,34258.png,[],/content/cleaned_images_with_text_removal/34258.png
210,63490.png,['person'],/content/cleaned_images_with_text_removal/63490.png
211,30579.png,['person'],/content/cleaned_images_with_text_removal/30579.png
212,09827.png,['person'],/content/cleaned_images_with_text_removal/09827.png
213,41903.png,[],/content/cleaned_images_with_text_removal/41903.png
214,06831.png,['person'],/content/cleaned_images_with_text_removal/06831.png
215,42967.png,[],/content/cleaned_images_with_text_removal/42967.png
216,90637.png,['person'],/content/cleaned_images_with_text_removal/90637.png
217,82509.png,[],/content/cleaned_images_with_text_removal/82509.png
218,21547.png,[],/content/cleaned_images_with_text_removal/21547.png
219,38217.png,['person'],/content/cleaned_images_with_text_removal/38217.png
220,81679.png,"['person', 'person', 'person', 'person', 'person']",/content/cleaned_images_with_text_removal/81679.png
221,40297.png,[],/content/cleaned_images_with_text_removal/40297.png
222,32746.png,"['tie', 'person']",/content/cleaned_images_with_text_removal/32746.png
223,69134.png,"['person', 'book', 'suitcase']",/content/cleaned_images_with_text_removal/69134.png
224,21435.png,"['person', 'person']",/content/cleaned_images_with_text_removal/21435.png
225,21740.png,[],/content/cleaned_images_with_text_removal/21740.png
226,85136.png,['person'],/content/cleaned_images_with_text_removal/85136.png
227,57849.png,[],/content/cleaned_images_with_text_removal/57849.png
228,19047.png,"['person', 'vase']",/content/cleaned_images_with_text_removal/19047.png
229,23817.png,[],/content/cleaned_images_with_text_removal/23817.png
230,63052.png,['dog'],/content/cleaned_images_with_text_removal/63052.png
231,45208.png,[],/content/cleaned_images_with_text_removal/45208.png
232,49806.png,"['person', 'person', 'person', 'person', 'tie', 'person', 'tie', 'tie', 'tie', 'potted plant']",/content/cleaned_images_with_text_removal/49806.png
233,80241.png,[],/content/cleaned_images_with_text_removal/80241.png
234,81254.png,"['person', 'tie']",/content/cleaned_images_with_text_removal/81254.png
235,90726.png,[],/content/cleaned_images_with_text_removal/90726.png
236,36470.png,"['donut', 'donut', 'donut', 'donut', 'donut', 'donut', 'donut', 'donut', 'donut', 'donut', 'donut', 'donut', 'donut']",/content/cleaned_images_with_text_removal/36470.png
237,46127.png,['bottle'],/content/cleaned_images_with_text_removal/46127.png
238,02165.png,"['person', 'person']",/content/cleaned_images_with_text_removal/02165.png
239,58012.png,['person'],/content/cleaned_images_with_text_removal/58012.png
240,73652.png,"['person', 'person']",/content/cleaned_images_with_text_removal/73652.png
241,13579.png,"['person', 'person', 'person', 'tie']",/content/cleaned_images_with_text_removal/13579.png
242,70193.png,['person'],/content/cleaned_images_with_text_removal/70193.png
243,09738.png,[],/content/cleaned_images_with_text_removal/09738.png
244,94876.png,['person'],/content/cleaned_images_with_text_removal/94876.png
245,46793.png,['person'],/content/cleaned_images_with_text_removal/46793.png
246,79302.png,"['person', 'person']",/content/cleaned_images_with_text_removal/79302.png
247,26813.png,[],/content/cleaned_images_with_text_removal/26813.png
248,37128.png,"['cup', 'person', 'cup', 'person']",/content/cleaned_images_with_text_removal/37128.png
249,29150.png,['person'],/content/cleaned_images_with_text_removal/29150.png
250,96583.png,[],/content/cleaned_images_with_text_removal/96583.png
251,54397.png,[],/content/cleaned_images_with_text_removal/54397.png
252,98506.png,[],/content/cleaned_images_with_text_removal/98506.png
253,79615.png,['person'],/content/cleaned_images_with_text_removal/79615.png
254,12453.png,[],/content/cleaned_images_with_text_removal/12453.png
255,13465.png,"['person', 'person', 'person', 'person']",/content/cleaned_images_with_text_removal/13465.png
256,06198.png,[],/content/cleaned_images_with_text_removal/06198.png
257,46925.png,['person'],/content/cleaned_images_with_text_removal/46925.png
258,18647.png,[],/content/cleaned_images_with_text_removal/18647.png
259,65320.png,"['person', 'person', 'tie']",/content/cleaned_images_with_text_removal/65320.png
260,97058.png,[],/content/cleaned_images_with_text_removal/97058.png
261,76951.png,[],/content/cleaned_images_with_text_removal/76951.png
262,37904.png,[],/content/cleaned_images_with_text_removal/37904.png
263,06892.png,[],/content/cleaned_images_with_text_removal/06892.png
264,40315.png,[],/content/cleaned_images_with_text_removal/40315.png
265,62381.png,['person'],/content/cleaned_images_with_text_removal/62381.png
266,18275.png,['person'],/content/cleaned_images_with_text_removal/18275.png
267,93728.png,"['person', 'person', 'person']",/content/cleaned_images_with_text_removal/93728.png
268,96104.png,"['person', 'person', 'person']",/content/cleaned_images_with_text_removal/96104.png
269,27341.png,"['person', 'wine glass']",/content/cleaned_images_with_text_removal/27341.png
270,60254.png,"['person', 'cup']",/content/cleaned_images_with_text_removal/60254.png
271,73104.png,[],/content/cleaned_images_with_text_removal/73104.png
272,28147.png,['person'],/content/cleaned_images_with_text_removal/28147.png
273,54170.png,"['laptop', 'bed', 'person', 'bed']",/content/cleaned_images_with_text_removal/54170.png
274,37615.png,[],/content/cleaned_images_with_text_removal/37615.png
275,12039.png,[],/content/cleaned_images_with_text_removal/12039.png
276,09152.png,['person'],/content/cleaned_images_with_text_removal/09152.png
277,90345.png,[],/content/cleaned_images_with_text_removal/90345.png
278,25416.png,[],/content/cleaned_images_with_text_removal/25416.png
279,54920.png,[],/content/cleaned_images_with_text_removal/54920.png
280,39527.png,[],/content/cleaned_images_with_text_removal/39527.png
281,29475.png,['person'],/content/cleaned_images_with_text_removal/29475.png
282,21083.png,"['person', 'person']",/content/cleaned_images_with_text_removal/21083.png
283,68930.png,[],/content/cleaned_images_with_text_removal/68930.png
284,31764.png,[],/content/cleaned_images_with_text_removal/31764.png
285,62354.png,"['tie', 'person']",/content/cleaned_images_with_text_removal/62354.png
286,16470.png,"['tie', 'person', 'person', 'person']",/content/cleaned_images_with_text_removal/16470.png
287,58063.png,['person'],/content/cleaned_images_with_text_removal/58063.png
288,43798.png,['person'],/content/cleaned_images_with_text_removal/43798.png
289,37548.png,"['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person']",/content/cleaned_images_with_text_removal/37548.png
290,13492.png,"['cup', 'chair']",/content/cleaned_images_with_text_removal/13492.png
291,64297.png,[],/content/cleaned_images_with_text_removal/64297.png
292,87954.png,['person'],/content/cleaned_images_with_text_removal/87954.png
293,14685.png,"['person', 'person']",/content/cleaned_images_with_text_removal/14685.png
294,81642.png,['person'],/content/cleaned_images_with_text_removal/81642.png
295,18937.png,[],/content/cleaned_images_with_text_removal/18937.png
296,34059.png,"['person', 'person']",/content/cleaned_images_with_text_removal/34059.png
297,25381.png,['cell phone'],/content/cleaned_images_with_text_removal/25381.png
298,21387.png,"['person', 'person', 'person', 'cake', 'cake', 'cake']",/content/cleaned_images_with_text_removal/21387.png
299,70235.png,[],/content/cleaned_images_with_text_removal/70235.png
300,05129.png,[],/content/cleaned_images_with_text_removal/05129.png
301,51089.png,"['person', 'person', 'person', 'person', 'person', 'person']",/content/cleaned_images_with_text_removal/51089.png
302,13894.png,"['cat', 'cat']",/content/cleaned_images_with_text_removal/13894.png
303,89241.png,['person'],/content/cleaned_images_with_text_removal/89241.png
304,46387.png,['person'],/content/cleaned_images_with_text_removal/46387.png
305,89043.png,[],/content/cleaned_images_with_text_removal/89043.png
306,26405.png,"['tie', 'person']",/content/cleaned_images_with_text_removal/26405.png
307,05218.png,[],/content/cleaned_images_with_text_removal/05218.png
308,50768.png,['wine glass'],/content/cleaned_images_with_text_removal/50768.png
309,46085.png,"['person', 'person', 'car', 'person']",/content/cleaned_images_with_text_removal/46085.png
310,09216.png,"['person', 'person']",/content/cleaned_images_with_text_removal/09216.png
311,29357.png,[],/content/cleaned_images_with_text_removal/29357.png
312,42380.png,"['person', 'person', 'person', 'person', 'tie', 'cat']",/content/cleaned_images_with_text_removal/42380.png
313,85042.png,"['person', 'person', 'person', 'person']",/content/cleaned_images_with_text_removal/85042.png
314,90283.png,"['person', 'person']",/content/cleaned_images_with_text_removal/90283.png
315,25943.png,['person'],/content/cleaned_images_with_text_removal/25943.png
316,32587.png,['person'],/content/cleaned_images_with_text_removal/32587.png
317,93410.png,"['person', 'suitcase']",/content/cleaned_images_with_text_removal/93410.png
318,30175.png,"['person', 'person', 'person', 'chair']",/content/cleaned_images_with_text_removal/30175.png
319,05498.png,['sink'],/content/cleaned_images_with_text_removal/05498.png
320,65149.png,"['person', 'car']",/content/cleaned_images_with_text_removal/65149.png
321,02943.png,[],/content/cleaned_images_with_text_removal/02943.png
322,47918.png,"['person', 'person', 'person', 'person', 'person']",/content/cleaned_images_with_text_removal/47918.png
323,21047.png,[],/content/cleaned_images_with_text_removal/21047.png
324,09174.png,['person'],/content/cleaned_images_with_text_removal/09174.png
325,58672.png,"['person', 'tie', 'person', 'person', 'bowl', 'tie', 'person', 'person', 'person', 'tie']",/content/cleaned_images_with_text_removal/58672.png
326,78304.png,[],/content/cleaned_images_with_text_removal/78304.png
327,80463.png,['person'],/content/cleaned_images_with_text_removal/80463.png
328,16598.png,['person'],/content/cleaned_images_with_text_removal/16598.png
329,36789.png,"['person', 'person']",/content/cleaned_images_with_text_removal/36789.png
330,84052.png,['person'],/content/cleaned_images_with_text_removal/84052.png
331,60182.png,"['person', 'cell phone', 'person', 'person']",/content/cleaned_images_with_text_removal/60182.png
332,84653.png,['person'],/content/cleaned_images_with_text_removal/84653.png
333,48160.png,"['person', 'person']",/content/cleaned_images_with_text_removal/48160.png
334,42015.png,['tie'],/content/cleaned_images_with_text_removal/42015.png
335,46918.png,"['person', 'person', 'person', 'person']",/content/cleaned_images_with_text_removal/46918.png
336,95386.png,"['dog', 'dog']",/content/cleaned_images_with_text_removal/95386.png
337,25837.png,"['tie', 'person']",/content/cleaned_images_with_text_removal/25837.png
338,12407.png,[],/content/cleaned_images_with_text_removal/12407.png
339,93187.png,[],/content/cleaned_images_with_text_removal/93187.png
340,86425.png,"['person', 'person']",/content/cleaned_images_with_text_removal/86425.png
341,46807.png,"['person', 'car', 'person', 'person', 'chair']",/content/cleaned_images_with_text_removal/46807.png
342,63207.png,"['tie', 'person']",/content/cleaned_images_with_text_removal/63207.png
343,68951.png,[],/content/cleaned_images_with_text_removal/68951.png
344,53679.png,[],/content/cleaned_images_with_text_removal/53679.png
345,48251.png,['person'],/content/cleaned_images_with_text_removal/48251.png
346,42103.png,['teddy bear'],/content/cleaned_images_with_text_removal/42103.png
347,40718.png,"['person', 'person', 'person']",/content/cleaned_images_with_text_removal/40718.png
348,48356.png,[],/content/cleaned_images_with_text_removal/48356.png
349,07649.png,[],/content/cleaned_images_with_text_removal/07649.png
350,26781.png,['train'],/content/cleaned_images_with_text_removal/26781.png
351,56714.png,['person'],/content/cleaned_images_with_text_removal/56714.png
352,74038.png,['person'],/content/cleaned_images_with_text_removal/74038.png
353,97201.png,['potted plant'],/content/cleaned_images_with_text_removal/97201.png
354,06153.png,[],/content/cleaned_images_with_text_removal/06153.png
355,31695.png,"['person', 'person', 'person', 'person', 'person', 'person']",/content/cleaned_images_with_text_removal/31695.png
356,16947.png,"['person', 'tie', 'person', 'tie', 'person', 'tie', 'person']",/content/cleaned_images_with_text_removal/16947.png
357,32709.png,"['person', 'person']",/content/cleaned_images_with_text_removal/32709.png
358,93761.png,['person'],/content/cleaned_images_with_text_removal/93761.png
359,08912.png,[],/content/cleaned_images_with_text_removal/08912.png
360,04632.png,['tie'],/content/cleaned_images_with_text_removal/04632.png
361,57284.png,['person'],/content/cleaned_images_with_text_removal/57284.png
362,39452.png,['hot dog'],/content/cleaned_images_with_text_removal/39452.png
363,18562.png,[],/content/cleaned_images_with_text_removal/18562.png
364,64327.png,"['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person']",/content/cleaned_images_with_text_removal/64327.png
365,26573.png,"['person', 'frisbee']",/content/cleaned_images_with_text_removal/26573.png
366,68491.png,['person'],/content/cleaned_images_with_text_removal/68491.png
367,38641.png,[],/content/cleaned_images_with_text_removal/38641.png
368,41678.png,"['person', 'person', 'person', 'person', 'person', 'person', 'tie', 'tie', 'tie']",/content/cleaned_images_with_text_removal/41678.png
369,31876.png,"['bowl', 'cup', 'person']",/content/cleaned_images_with_text_removal/31876.png
